n,time
100,2.12483093E-5
115,8.321319700000001E-6
132,6.4129845E-6
152,8.080374300000002E-6
175,1.0336640500000001E-5
202,1.2380492100000001E-5
232,1.4203723700000002E-5
268,1.31738883E-5
308,1.4720829100000002E-5
355,1.45037096E-5
409,1.95153027E-5
471,2.43987278E-5
542,5.901403980000001E-5
625,4.9890365000000004E-5
719,7.29498364E-5
828,7.93230819E-5
954,1.019295724E-4
1098,1.341731816E-4
1264,1.672216774E-4
1456,2.034877769E-4
1676,2.450693085E-4
1930,2.9386389260000005E-4
2222,3.312558096E-4
2559,3.8718771770000006E-4
2947,4.653497361E-4
3393,5.806832371264368E-4
3906,6.976161154166668E-4
4498,8.298988527868854E-4
5179,9.788306442307694E-4
5963,0.001135083221111111
6866,0.001459585307714286
7906,0.0018445242835714287
9102,0.0020303170164
10481,0.0028680820433333335
