n,time
100,6.509371700000001E-6
115,4.8100759E-6
132,5.962447400000001E-6
152,6.774628E-6
175,7.751738300000001E-6
202,9.5526953E-6
232,1.19065833E-5
268,1.3821507099999999E-5
308,1.72911939E-5
355,1.6526748100000002E-5
409,2.6550910700000002E-5
471,3.87886375E-5
542,8.121700230000001E-5
625,7.105934490000001E-5
719,6.6112351E-5
828,9.050484860000002E-5
954,1.273348936E-4
1098,1.5941744260000002E-4
1264,1.960853135E-4
1456,2.1570636700000002E-4
1676,2.560626809E-4
1930,3.2174299E-4
2222,3.619563303E-4
2559,4.3349390230000003E-4
2947,5.32350745319149E-4
3393,6.447616223076923E-4
3906,7.8348301140625E-4
4498,9.633142803846154E-4
5179,0.0012848516041025642
5963,0.0014151826458333335
6866,0.001732389459310345
7906,0.0020178127396
9102,0.002534485143
10481,0.004392409640000001
